timestamp,value1,value2,value3
1746733525.305,1.150,4.868,0.678
1746733525.313,1.142,4.870,0.673
1746733525.318,1.136,4.871,0.670
1746733525.323,1.131,4.872,0.667
1746733525.331,1.124,4.874,0.663
1746733525.341,1.114,4.876,0.657
1746733525.345,1.110,4.877,0.655
1746733525.354,1.100,4.879,0.650
1746733525.410,1.045,4.891,0.618
1746733525.522,0.934,4.913,0.554
1746733525.531,0.925,4.914,0.549
1746733525.537,0.919,4.915,0.545
1746733525.544,0.912,4.917,0.541
1746733525.548,0.908,4.918,0.539
1746733525.558,0.898,4.919,0.533
1746733525.567,0.889,4.921,0.528
1746733525.577,0.879,4.923,0.522
1746733525.584,0.872,4.924,0.518
1746733525.709,0.748,4.944,0.445
1746733525.798,0.659,4.957,0.393
1746733525.933,0.524,4.973,0.313
1746733525.939,0.518,4.973,0.310
1746733525.944,0.513,4.974,0.307
1746733525.949,0.508,4.974,0.304
1746733525.954,0.503,4.975,0.301
1746733525.960,0.497,4.975,0.297
1746733525.965,0.492,4.976,0.295
1746733525.971,0.486,4.976,0.291
1746733525.977,0.480,4.977,0.287
1746733525.983,0.474,4.978,0.283
1746733525.989,0.468,4.978,0.280
1746733525.995,0.462,4.979,0.276
1746733526.000,0.457,4.979,0.274
1746733526.006,0.451,4.980,0.270
1746733526.011,0.446,4.980,0.267
1746733526.015,0.442,4.980,0.264
1746733526.022,0.435,4.981,0.260
1746733526.026,0.431,4.981,0.258
1746733526.033,0.424,4.982,0.254
1746733526.040,0.417,4.983,0.250
1746733526.047,0.410,4.983,0.245
1746733526.050,0.407,4.983,0.244
1746733526.056,0.401,4.984,0.240
1746733526.097,0.360,4.987,0.216
1746733526.132,0.325,4.989,0.195
1746733526.166,0.291,4.992,0.175
1746733526.172,0.285,4.992,0.171
1746733526.176,0.281,4.992,0.168
1746733526.182,0.275,4.992,0.165
1746733526.185,0.272,4.993,0.163
1746733526.191,0.266,4.993,0.160
1746733526.196,0.261,4.993,0.157
1746733526.200,0.257,4.993,0.154
1746733526.207,0.251,4.994,0.150
1746733526.213,0.244,4.994,0.147
1746733526.285,0.172,4.997,0.103
1746733526.291,0.167,4.997,0.100
1746733526.328,0.130,4.998,0.078
1746733526.335,0.123,4.998,0.074
1746733526.341,0.116,4.999,0.069
1746733526.347,0.110,4.999,0.066
1746733526.353,0.104,4.999,0.063
1746733526.356,0.101,4.999,0.061
1746733526.362,0.095,4.999,0.057
1746733526.366,0.091,4.999,0.055
1746733526.372,0.085,4.999,0.051
1746733526.378,0.079,4.999,0.048
1746733526.383,0.074,4.999,0.044
1746733526.389,0.068,5.000,0.041
1746733526.391,0.066,5.000,0.040
1746733526.396,0.061,5.000,0.037
1746733526.402,0.055,5.000,0.033
1746733526.408,0.050,5.000,0.030
1746733526.413,0.044,5.000,0.026
1746733526.417,0.040,5.000,0.024
1746733526.423,0.034,5.000,0.021
1746733526.428,0.029,5.000,0.018
1746733526.434,0.023,5.000,0.014
1746733526.441,0.017,5.000,0.010
1746733526.448,0.010,5.000,0.006
1746733526.452,0.006,5.000,0.003
1746733526.459,-0.002,5.000,-0.001
1746733526.464,-0.007,5.000,-0.004
1746733526.471,-0.014,5.000,-0.008
1746733526.475,-0.018,5.000,-0.011
1746733526.485,-0.028,5.000,-0.017
1746733526.494,-0.036,5.000,-0.022
1746733526.548,-0.091,4.999,-0.054
1746733526.585,-0.128,4.998,-0.077
1746733526.591,-0.134,4.998,-0.080
1746733526.597,-0.140,4.998,-0.084
1746733526.630,-0.172,4.997,-0.103
1746733526.664,-0.207,4.996,-0.124
1746733526.697,-0.240,4.994,-0.144
1746733526.703,-0.246,4.994,-0.147
1746733526.706,-0.249,4.994,-0.149
1746733526.712,-0.255,4.993,-0.153
1746733526.717,-0.260,4.993,-0.156
1746733526.722,-0.265,4.993,-0.159
1746733526.729,-0.271,4.993,-0.163
1746733526.734,-0.277,4.992,-0.166
1746733526.740,-0.282,4.992,-0.169
1746733526.743,-0.285,4.992,-0.171
1746733526.748,-0.291,4.992,-0.174
1746733526.754,-0.296,4.991,-0.178
1746733526.760,-0.303,4.991,-0.182
1746733526.766,-0.309,4.990,-0.185
1746733526.773,-0.315,4.990,-0.189
1746733526.776,-0.319,4.990,-0.191
1746733526.783,-0.326,4.989,-0.195
1746733526.788,-0.331,4.989,-0.198
1746733526.794,-0.337,4.989,-0.202
1746733526.799,-0.341,4.988,-0.205
1746733526.802,-0.345,4.988,-0.206
1746733526.808,-0.351,4.988,-0.210
1746733526.812,-0.354,4.987,-0.212
1746733526.817,-0.360,4.987,-0.216
1746733526.822,-0.365,4.987,-0.218
1746733526.827,-0.370,4.986,-0.222
1746733526.833,-0.376,4.986,-0.225
1746733526.839,-0.382,4.985,-0.229
1746733526.845,-0.387,4.985,-0.232
1746733526.848,-0.391,4.985,-0.234
1746733526.854,-0.397,4.984,-0.237
1746733526.857,-0.400,4.984,-0.239
1746733526.863,-0.405,4.984,-0.243
1746733526.869,-0.411,4.983,-0.246
1746733526.905,-0.448,4.980,-0.268
1746733526.941,-0.483,4.977,-0.289
1746733526.948,-0.490,4.976,-0.293
1746733526.957,-0.500,4.975,-0.299
1746733526.960,-0.503,4.975,-0.301
1746733526.965,-0.508,4.974,-0.304
1746733526.972,-0.514,4.974,-0.307
1746733526.975,-0.518,4.973,-0.310
1746733526.981,-0.524,4.973,-0.313
1746733526.992,-0.534,4.971,-0.319
1746733526.999,-0.541,4.971,-0.323
1746733527.032,-0.574,4.967,-0.343
1746733527.037,-0.580,4.966,-0.346
1746733527.043,-0.586,4.966,-0.350
1746733527.050,-0.592,4.965,-0.354
1746733527.056,-0.598,4.964,-0.357
1746733527.092,-0.635,4.960,-0.379
1746733527.132,-0.674,4.955,-0.402
1746733527.140,-0.682,4.953,-0.407
1746733527.146,-0.688,4.953,-0.410
1746733527.148,-0.690,4.952,-0.411
1746733527.153,-0.696,4.952,-0.415
1746733527.159,-0.701,4.951,-0.418
1746733527.165,-0.707,4.950,-0.421
1746733527.171,-0.713,4.949,-0.425
1746733527.174,-0.716,4.949,-0.427
1746733527.180,-0.722,4.948,-0.430
1746733527.184,-0.727,4.947,-0.433
1746733527.190,-0.732,4.946,-0.436
1746733527.196,-0.738,4.946,-0.440
1746733527.202,-0.744,4.945,-0.443
1746733527.207,-0.749,4.944,-0.446
1746733527.211,-0.753,4.943,-0.448
1746733527.217,-0.759,4.942,-0.452
1746733527.221,-0.763,4.942,-0.454
1746733527.227,-0.769,4.941,-0.458
1746733527.233,-0.775,4.940,-0.461
1746733527.238,-0.780,4.939,-0.464
1746733527.244,-0.786,4.938,-0.468
1746733527.248,-0.790,4.938,-0.470
1746733527.254,-0.796,4.937,-0.473
1746733527.257,-0.799,4.936,-0.475
1746733527.263,-0.805,4.935,-0.479
1746733527.269,-0.811,4.934,-0.482
1746733527.275,-0.817,4.933,-0.486
1746733527.281,-0.822,4.932,-0.489
1746733527.284,-0.826,4.932,-0.491
1746733527.289,-0.831,4.931,-0.494
1746733527.294,-0.836,4.930,-0.497
1746733527.301,-0.842,4.929,-0.501
1746733527.306,-0.847,4.928,-0.504
1746733527.312,-0.853,4.927,-0.507
1746733527.318,-0.860,4.926,-0.511
1746733527.325,-0.867,4.925,-0.515
1746733527.329,-0.871,4.924,-0.517
1746733527.336,-0.878,4.923,-0.521
1746733527.340,-0.882,4.922,-0.524
1746733527.347,-0.888,4.921,-0.527
1746733527.350,-0.892,4.920,-0.530
1746733527.357,-0.899,4.919,-0.533
1746733527.364,-0.906,4.918,-0.537
1746733527.408,-0.950,4.910,-0.563
1746733527.506,-1.047,4.890,-0.619
1746733527.602,-1.142,4.870,-0.673
1746733527.610,-1.150,4.868,-0.678
1746733527.615,-1.156,4.866,-0.681
1746733527.621,-1.161,4.865,-0.684
1746733527.627,-1.167,4.864,-0.688
1746733527.631,-1.172,4.863,-0.690
1746733527.639,-1.179,4.861,-0.695
1746733527.647,-1.187,4.859,-0.699
1746733527.653,-1.193,4.858,-0.702
1746733527.661,-1.201,4.856,-0.707
1746733527.665,-1.205,4.855,-0.709
1746733527.672,-1.212,4.853,-0.713
1746733527.676,-1.216,4.852,-0.715
1746733527.683,-1.223,4.850,-0.719
1746733527.687,-1.227,4.849,-0.721
1746733527.695,-1.235,4.848,-0.726
1746733527.699,-1.239,4.847,-0.728
1746733527.707,-1.246,4.845,-0.732
1746733527.711,-1.251,4.844,-0.735
1746733527.718,-1.258,4.842,-0.739
1746733527.723,-1.262,4.841,-0.741
1746733527.730,-1.270,4.839,-0.745
1746733527.735,-1.274,4.838,-0.748
1746733527.742,-1.282,4.836,-0.752
1746733527.746,-1.285,4.835,-0.754
1746733527.753,-1.292,4.833,-0.758
1746733527.796,-1.334,4.822,-0.782
1746733527.892,-1.430,4.796,-0.834
1746733527.938,-1.475,4.782,-0.859
1746733527.946,-1.483,4.780,-0.864
1746733527.954,-1.491,4.778,-0.868
1746733527.995,-1.532,4.765,-0.890
1746733528.003,-1.539,4.763,-0.894
1746733528.006,-1.542,4.762,-0.896
1746733528.013,-1.550,4.760,-0.900
1746733528.018,-1.555,4.758,-0.903
1746733528.026,-1.562,4.756,-0.907
1746733528.033,-1.569,4.754,-0.911
1746733528.041,-1.577,4.751,-0.915
1746733528.047,-1.583,4.749,-0.918
1746733528.053,-1.589,4.747,-0.921
1746733528.059,-1.595,4.745,-0.925
1746733528.066,-1.602,4.744,-0.928
1746733528.072,-1.607,4.742,-0.931
1746733528.078,-1.614,4.740,-0.935
1746733528.081,-1.617,4.739,-0.936
1746733528.087,-1.623,4.737,-0.939
1746733528.094,-1.629,4.735,-0.943
1746733528.100,-1.635,4.733,-0.946
1746733528.104,-1.639,4.731,-0.948
1746733528.111,-1.646,4.729,-0.952
1746733528.114,-1.649,4.728,-0.954
1746733528.121,-1.656,4.726,-0.957
1746733528.126,-1.661,4.724,-0.960
1746733528.171,-1.706,4.709,-0.984
1746733528.208,-1.741,4.697,-1.003
1746733528.213,-1.747,4.695,-1.006
1746733528.219,-1.753,4.693,-1.009
1746733528.223,-1.757,4.691,-1.011
1746733528.229,-1.763,4.689,-1.014
1746733528.233,-1.766,4.688,-1.016
1746733528.238,-1.772,4.686,-1.019
1746733528.243,-1.776,4.684,-1.021
1746733528.246,-1.779,4.683,-1.023
1746733528.252,-1.785,4.681,-1.026
1746733528.285,-1.818,4.669,-1.043
1746733528.317,-1.849,4.658,-1.059
1746733528.350,-1.881,4.646,-1.075
1746733528.355,-1.887,4.644,-1.078
1746733528.360,-1.891,4.642,-1.081
1746733528.366,-1.897,4.640,-1.084
1746733528.372,-1.903,4.638,-1.087
1746733528.378,-1.909,4.635,-1.090
1746733528.385,-1.916,4.633,-1.093
1746733528.391,-1.922,4.631,-1.096
1746733528.397,-1.928,4.628,-1.099
1746733528.404,-1.934,4.626,-1.103
1746733528.410,-1.941,4.623,-1.106
1746733528.417,-1.947,4.621,-1.109
1746733528.424,-1.954,4.618,-1.113
1746733528.431,-1.961,4.616,-1.116
1746733528.438,-1.967,4.613,-1.120
1746733528.444,-1.974,4.610,-1.123
1746733528.452,-1.981,4.607,-1.127
1746733528.458,-1.988,4.605,-1.130
1746733528.465,-1.995,4.602,-1.133
1746733528.471,-2.001,4.600,-1.136
1746733528.479,-2.008,4.597,-1.140
1746733528.486,-2.015,4.594,-1.143
1746733528.493,-2.022,4.591,-1.147
1746733528.500,-2.029,4.588,-1.150
1746733528.503,-2.031,4.587,-1.152
1746733528.510,-2.039,4.584,-1.155
1746733528.515,-2.043,4.583,-1.158
1746733528.521,-2.049,4.580,-1.161
1746733528.525,-2.053,4.578,-1.163
1746733528.534,-2.062,4.575,-1.167
1746733528.538,-2.066,4.573,-1.169
1746733528.546,-2.074,4.570,-1.173
1746733528.551,-2.079,4.568,-1.175
1746733528.561,-2.088,4.564,-1.180
1746733528.572,-2.099,4.559,-1.185
1746733528.578,-2.104,4.557,-1.188
1746733528.636,-2.162,4.533,-1.216
1746733528.673,-2.197,4.517,-1.234
1746733528.709,-2.233,4.502,-1.251
1746733528.716,-2.240,4.498,-1.254
1746733528.723,-2.247,4.495,-1.257
1746733528.726,-2.249,4.494,-1.259
1746733528.734,-2.257,4.490,-1.262
1746733528.780,-2.302,4.470,-1.284
1746733528.843,-2.364,4.441,-1.312
1746733528.852,-2.372,4.437,-1.317
1746733528.861,-2.380,4.433,-1.320
1746733528.869,-2.388,4.430,-1.324
1746733528.876,-2.395,4.426,-1.327
1746733528.883,-2.402,4.423,-1.330
1746733528.887,-2.406,4.421,-1.332
1746733528.895,-2.414,4.417,-1.336
1746733528.902,-2.420,4.414,-1.339
1746733528.909,-2.428,4.411,-1.342
1746733528.915,-2.433,4.408,-1.344
1746733528.923,-2.441,4.404,-1.348
1746733528.931,-2.449,4.400,-1.352
1746733528.939,-2.456,4.397,-1.355
1746733528.947,-2.464,4.393,-1.359
1746733528.952,-2.469,4.390,-1.361
1746733528.959,-2.476,4.387,-1.364
1746733528.967,-2.484,4.383,-1.368
1746733528.973,-2.490,4.380,-1.370
1746733528.982,-2.498,4.376,-1.374
1746733528.986,-2.502,4.374,-1.376
1746733528.994,-2.510,4.370,-1.379
1746733528.999,-2.515,4.368,-1.382
1746733529.008,-2.523,4.364,-1.385
1746733529.011,-2.526,4.362,-1.387
1746733529.018,-2.533,4.358,-1.390
1746733529.022,-2.536,4.357,-1.391
1746733529.030,-2.545,4.353,-1.395
1746733529.087,-2.600,4.324,-1.419
1746733529.402,-2.902,4.158,-1.546
1746733529.510,-3.005,4.097,-1.586
1746733529.584,-3.076,4.054,-1.613
1746733529.620,-3.110,4.033,-1.625
1746733529.661,-3.150,4.008,-1.640
1746733529.668,-3.156,4.004,-1.642
1746733529.673,-3.161,4.001,-1.644
1746733529.681,-3.168,3.996,-1.646
1746733529.684,-3.171,3.994,-1.648
1746733529.691,-3.178,3.990,-1.650
1746733529.695,-3.182,3.988,-1.651
1746733529.703,-3.189,3.983,-1.654
1746733529.707,-3.193,3.981,-1.655
1746733529.714,-3.200,3.976,-1.658
1746733529.719,-3.204,3.973,-1.659
1746733529.731,-3.215,3.966,-1.663
1746733529.734,-3.219,3.964,-1.664
1746733529.741,-3.225,3.960,-1.667
1746733529.749,-3.233,3.955,-1.669
1746733529.755,-3.238,3.951,-1.671
1746733529.762,-3.245,3.947,-1.674
1746733529.768,-3.251,3.943,-1.676
1746733529.777,-3.259,3.938,-1.678
1746733529.783,-3.265,3.934,-1.680
1746733529.791,-3.272,3.929,-1.683
1746733529.839,-3.318,3.899,-1.698
1746733529.846,-3.324,3.895,-1.701
1746733529.850,-3.329,3.892,-1.702
1746733529.856,-3.334,3.888,-1.704
1746733529.862,-3.340,3.885,-1.706
1746733529.868,-3.345,3.881,-1.708
1746733529.885,-3.361,3.871,-1.713
1746733529.889,-3.365,3.868,-1.714
1746733529.895,-3.371,3.864,-1.716
1746733529.903,-3.378,3.859,-1.718
1746733529.912,-3.386,3.853,-1.721
1746733529.964,-3.435,3.820,-1.737
1746733530.026,-3.493,3.780,-1.755
1746733530.171,-3.629,3.683,-1.795
1746733530.177,-3.634,3.679,-1.797
1746733530.183,-3.640,3.675,-1.798
1746733530.187,-3.644,3.672,-1.799
1746733530.193,-3.650,3.668,-1.801
1746733530.200,-3.656,3.663,-1.803
1746733530.234,-3.688,3.640,-1.811
1746733530.241,-3.694,3.635,-1.813
1746733530.248,-3.701,3.631,-1.815
1746733530.255,-3.707,3.626,-1.817
1746733530.263,-3.715,3.620,-1.819
1746733530.269,-3.720,3.616,-1.820
1746733530.275,-3.726,3.612,-1.822
1746733530.281,-3.731,3.608,-1.823
1746733530.287,-3.737,3.604,-1.825
1746733530.289,-3.739,3.602,-1.825
1746733530.295,-3.744,3.598,-1.827
1746733530.300,-3.749,3.595,-1.828
1746733530.303,-3.752,3.593,-1.829
1746733530.309,-3.757,3.589,-1.830
1746733530.312,-3.760,3.586,-1.831
1746733530.345,-3.791,3.563,-1.839
1746733530.351,-3.796,3.559,-1.840
1746733530.357,-3.802,3.555,-1.841
1746733530.361,-3.805,3.552,-1.842
1746733530.369,-3.813,3.546,-1.844
1746733530.408,-3.849,3.519,-1.853
1746733530.451,-3.888,3.488,-1.863
1746733530.458,-3.895,3.483,-1.864
1746733530.464,-3.900,3.479,-1.866
1746733530.470,-3.906,3.475,-1.867
1746733530.476,-3.911,3.470,-1.868
1746733530.484,-3.919,3.464,-1.870
1746733530.489,-3.924,3.461,-1.871
1746733530.498,-3.931,3.454,-1.873
1746733530.504,-3.937,3.450,-1.874
1746733530.511,-3.944,3.445,-1.876
1746733530.518,-3.950,3.440,-1.877
1746733530.571,-3.999,3.401,-1.888
1746733530.578,-4.006,3.396,-1.889
1746733530.587,-4.013,3.390,-1.891
1746733530.594,-4.020,3.384,-1.892
1746733530.599,-4.025,3.380,-1.893
1746733530.607,-4.032,3.374,-1.895
1746733530.612,-4.037,3.371,-1.896
1746733530.622,-4.045,3.364,-1.898
1746733530.630,-4.053,3.358,-1.899
1746733530.636,-4.059,3.353,-1.900
1746733530.645,-4.067,3.346,-1.902
1746733530.703,-4.119,3.303,-1.912
1746733530.760,-4.172,3.260,-1.922
1746733530.821,-4.227,3.214,-1.932
1746733530.880,-4.280,3.168,-1.941
1746733530.945,-4.338,3.118,-1.950
1746733530.956,-4.348,3.109,-1.951
1746733530.963,-4.355,3.104,-1.952
1746733530.968,-4.360,3.099,-1.953
1746733530.972,-4.363,3.096,-1.953
1746733530.979,-4.369,3.091,-1.954
1746733530.982,-4.372,3.088,-1.955
1746733530.989,-4.378,3.083,-1.956
1746733530.994,-4.383,3.079,-1.956
1746733531.002,-4.390,3.073,-1.957
1746733531.010,-4.397,3.067,-1.958
1746733531.018,-4.405,3.060,-1.959
1746733531.022,-4.408,3.057,-1.960
1746733531.032,-4.417,3.049,-1.961
1746733531.035,-4.420,3.046,-1.961
